bone_pairs,adduction,abduction,flexion,extension,pinch,grasp,jar,pinch_load,grasp_load,jar_load,neutral
tpm-mc1,False,False,False,False,False,False,False,True,False,False,False
tpm-sca,False,False,False,False,False,False,False,False,False,False,False
tpm-mc2,True,True,True,True,False,False,True,True,True,True,False
tpm-tpd,False,False,False,False,False,False,False,False,False,False,False
rad-uln,False,False,False,False,False,False,False,False,False,False,False
rad-sca,False,False,False,False,False,False,False,False,False,False,False
rad-lun,False,False,False,False,False,False,False,False,False,False,False
sca-tpd,False,False,False,False,False,False,False,False,False,False,False
sca-lun,False,False,False,False,False,False,False,False,False,False,False
sca-cap,False,False,False,False,False,True,True,True,False,True,False
lun-cap,False,False,False,False,False,False,False,False,False,False,False
lun-ham,False,False,False,False,False,False,False,False,False,False,False
lun-trq,False,False,False,False,False,False,False,False,False,False,False
tpd-mc2,True,True,True,True,True,False,True,True,True,True,False
tpd-cap,False,False,False,False,False,False,False,False,False,False,False
cap-ham,False,False,False,False,False,False,False,False,False,False,False
cap-mc2,False,True,True,True,False,False,True,True,True,True,False
cap-mc3,True,True,True,True,False,False,True,True,True,True,False
cap-mc4,True,True,True,True,False,False,False,True,True,False,False
trq-ham,False,False,False,False,False,False,False,False,False,False,False
trq-pis,False,False,False,False,False,False,False,False,False,False,False
ham-mc4,True,True,True,True,False,False,True,True,True,True,False
ham-mc5,True,True,True,True,True,False,True,True,True,True,False
mc1-mc2,False,False,False,False,False,False,False,False,False,False,False
mc2-mc3,True,True,True,True,False,False,True,True,True,True,False
mc3-mc4,False,False,False,False,False,False,False,False,False,False,False
mc4-mc5,True,True,True,False,False,False,True,True,False,False,False
