bone_pairs,adduction,abduction,flexion,extension,pinch,grasp,jar,pinch_load,grasp_load,jar_load,neutral
tpm-mc1,True,False,False,False,False,False,False,False,False,False,False
tpm-sca,True,True,True,True,True,True,True,True,False,False,True
tpm-mc2,False,False,False,False,False,True,False,False,False,False,False
tpm-tpd,True,True,True,True,True,True,True,True,True,True,True
rad-uln,False,False,False,False,False,False,False,False,False,False,False
rad-sca,False,False,False,False,False,False,False,False,False,False,False
rad-lun,False,False,False,False,False,False,False,False,False,False,False
sca-tpd,False,False,False,False,True,True,False,False,False,False,True
sca-lun,False,False,False,False,False,False,False,False,False,False,False
sca-cap,False,False,False,False,False,True,False,False,False,False,False
lun-cap,False,False,False,False,False,False,False,True,False,False,False
lun-ham,False,False,False,False,False,False,True,True,False,False,False
lun-trq,False,False,False,False,False,False,False,False,False,False,False
tpd-mc2,True,False,False,False,True,False,False,False,False,False,False
tpd-cap,True,True,True,True,True,True,True,True,True,True,True
cap-ham,True,True,True,True,True,True,True,True,True,True,True
cap-mc2,False,False,False,False,False,False,False,False,False,False,False
cap-mc3,False,False,False,False,True,False,False,True,False,False,False
cap-mc4,False,False,False,False,False,False,False,False,False,False,False
trq-ham,False,False,False,False,False,False,True,True,False,False,False
trq-pis,False,False,False,False,False,False,False,False,False,False,False
ham-mc4,False,False,False,False,False,False,False,False,False,False,False
ham-mc5,False,False,False,False,False,False,False,True,False,False,False
mc1-mc2,False,False,False,False,False,False,False,False,False,False,False
mc2-mc3,True,True,True,True,True,True,True,True,True,True,True
mc3-mc4,False,False,False,False,False,True,False,True,False,False,False
mc4-mc5,True,True,True,True,True,True,True,True,True,True,True
