sub,bone,iters,rmsd,d_mean,d_95,d_max
14818R,tpm,1,0.005409491563071788,0.002553310614117502,0.010485443421493476,0.08901856964375407
14818R,tpm,2,0.005351527091165021,0.0025388055507615894,0.010499950767070916,0.0853144519600708
14818R,tpm,4,0.005295056059973595,0.00251389008995419,0.010379783039963359,0.07536219266099184
14818R,tpm,8,0.0052407405710896875,0.0024865084904454786,0.010226198416856434,0.06966780038241073
14818R,tpm,16,0.005160435497909912,0.0024666594155477203,0.01008769168933866,0.07783822992197285
14818R,tpm,32,0.005019586622819813,0.002476046210273948,0.01023387055899681,0.08019499026788568
14818R,tpm,64,0.0043243547474904305,0.002242265644580385,0.00935128841027253,0.057745076364221236
14818R,mc1,1,0.004993608556646106,0.0026528348009620265,0.010375017117547201,0.0722610658731315
14818R,mc1,2,0.0046967921367965,0.002519865406617923,0.009747064074017722,0.09204415476936327
14818R,mc1,4,0.004395002585880611,0.0023940491972857447,0.009163402565756113,0.06820213032101625
14818R,mc1,8,0.004125146576884614,0.002274758205265227,0.0086423622504618,0.06737033331109932
14818R,mc1,16,0.0038120022356086408,0.0021301482618574425,0.00801540447900472,0.0590529549445764
14818R,mc1,32,0.0033854435357037306,0.001926766706884365,0.007232270932729597,0.05067386148162312
14818R,mc1,64,0.0026598042063316818,0.0015145969949039257,0.0058171778721058335,0.03947529207470291
15282R,tpm,1,0.004609309624038828,0.0021483417487736345,0.009152469930659154,0.0634650086781933
15282R,tpm,2,0.00458331562521678,0.0021404929467799365,0.008965082847655594,0.06314416839133641
15282R,tpm,4,0.004544949826847932,0.002130262547294638,0.008922720375051192,0.061267153880703674
15282R,tpm,8,0.004509011790237757,0.0021296917971702265,0.008984062065447046,0.0584858874950246
15282R,tpm,16,0.004434551020568731,0.0021210384856287508,0.008933623550537931,0.05707731656717334
15282R,tpm,32,0.004306721117511275,0.0021066617934995236,0.00889125177117228,0.061158705370691055
15282R,tpm,64,0.0036138635518853123,0.0018312566920660428,0.007827946562022545,0.039561692285154625
15282R,mc1,1,0.0043439560017920755,0.0023309447234790173,0.009107799989041954,0.07019683346163555
15282R,mc1,2,0.004127450416965555,0.0022220060688240904,0.00854433664607808,0.07249339067371609
15282R,mc1,4,0.003946147799441247,0.002130638481113379,0.008054206502819643,0.07468872222354453
15282R,mc1,8,0.003734369686269673,0.0020388773512274856,0.007549645884294736,0.07019683346162284
15282R,mc1,16,0.0034579546343253627,0.0019142501660553673,0.006927619588356039,0.06764404879200309
15282R,mc1,32,0.0030483341004539375,0.0017270376538624575,0.006182526858941514,0.0636677782471372
15282R,mc1,64,0.002351355031392844,0.0013456317330055628,0.00490265504113213,0.04583782683410837
14874R,tpm,1,0.004715496758897546,0.002267729533948655,0.009698248845260632,0.06614503058079892
14874R,tpm,2,0.00469185411568449,0.002261438740507839,0.009658753421603071,0.06067728572246879
14874R,tpm,4,0.004642664741449189,0.0022480264991136026,0.00958194990481029,0.05941040267188905
14874R,tpm,8,0.004664401114417658,0.0022521300984605108,0.009608963741676687,0.06051108863844407
14874R,tpm,16,0.004700120061298291,0.002270579335267161,0.00961174182711364,0.06189104501356108
14874R,tpm,32,0.004692553562195022,0.0023070092753332745,0.009836153863185988,0.06458616800311905
14874R,tpm,64,0.004108155747049068,0.002050746433384813,0.00904096005933685,0.056301158029535184
14874R,mc1,1,0.005161683617032968,0.002705714583615522,0.010910540295430983,0.08086058011203436
14874R,mc1,2,0.004939325044754745,0.0026008531791476695,0.01040014554832306,0.06868243447056148
14874R,mc1,4,0.004715559837326637,0.0025042004429762454,0.009868908028871125,0.06734970788890654
14874R,mc1,8,0.004491414862560688,0.0024037688665421706,0.009421967160710538,0.06397769432213919
14874R,mc1,16,0.004185748501450458,0.0022599345448011416,0.008711516836677582,0.06569811321175201
14874R,mc1,32,0.0037353781219586464,0.002044930494060384,0.007832128194608462,0.061841305635257846
14874R,mc1,64,0.002911309254916695,0.0016101686000947642,0.006319218593539107,0.041925924302581796
22306R,tpm,1,0.005187300968468058,0.002444207143955346,0.01064169047625291,0.07479796329221616
22306R,tpm,2,0.005069008847197847,0.0024000108696282754,0.010520225158369407,0.06869542817908905
22306R,tpm,4,0.005002081900140651,0.0023838523505078533,0.010223959611105966,0.08349287717471979
22306R,tpm,8,0.004920932806744831,0.0023590223092081596,0.010011596954929359,0.08825092432836579
22306R,tpm,16,0.0048125717930492425,0.002327616921401467,0.009928508389402724,0.08538971512052114
22306R,tpm,32,0.004620953009289345,0.0022898998371896568,0.009823292978107325,0.0740722437356796
22306R,tpm,64,0.003874798865010724,0.0019685346388624526,0.008414805298512667,0.050837127232294645
22306R,mc1,1,0.004488017887978361,0.002339680547938973,0.00942557415221549,0.05712154841885078
22306R,mc1,2,0.0042604808588745605,0.002228822594731055,0.008823267125178488,0.0594405027929841
22306R,mc1,4,0.004045691898234395,0.002136581281779949,0.008312411374245227,0.062107604008862116
22306R,mc1,8,0.003831786614239157,0.0020423366048569324,0.007971699523433188,0.06311004474562679
22306R,mc1,16,0.0035854897941368733,0.0019268595092313261,0.007501996111614294,0.05682977126595424
22306R,mc1,32,0.0032944978053149753,0.0017844196682005955,0.007041113327966684,0.04262863608388211
22306R,mc1,64,0.0027613404872440135,0.001462984530465699,0.006013170745160624,0.03706828970019255
50000R,tpm,1,0.004955573803514205,0.0023535661689720344,0.00951511409915811,0.06649031519118855
50000R,tpm,2,0.004902399376865465,0.002336967698703921,0.00966928684390663,0.07675313689572455
50000R,tpm,4,0.004911158785208843,0.0023335035910730466,0.009626555489610293,0.07782645452951184
50000R,tpm,8,0.004925639242695203,0.002339339680995085,0.009631562365909204,0.07870170089365584
50000R,tpm,16,0.004934538381156535,0.0023480420678519526,0.009697599267906871,0.0744673256564014
50000R,tpm,32,0.004843765751468897,0.0023474611616650176,0.009787505458485092,0.07135341360839383
50000R,tpm,64,0.004185603108082114,0.002082956439533691,0.00873538102200398,0.06682704806902187
50000R,mc1,1,0.004237250376910049,0.002319411013532188,0.009098594546548499,0.0709287939998373
50000R,mc1,2,0.003964219796931934,0.002184831827192732,0.008475997376778899,0.06508143462469798
50000R,mc1,4,0.0037255992836225343,0.00208243731690368,0.007897220066729663,0.05814972333298429
50000R,mc1,8,0.0034760852928168652,0.001975427890049091,0.007366389523857835,0.05183279902233716
50000R,mc1,16,0.003197143868223432,0.0018401299391834923,0.006783149309149787,0.04435249369581961
50000R,mc1,32,0.0028428499908678033,0.0016402472223288602,0.00607659870980828,0.03775040564495137
50000R,mc1,64,0.0022997058105562783,0.0012922079566867544,0.0048411440111211885,0.027951224196141624
50049R,tpm,1,0.006424301802496547,0.0027199563119634606,0.01118384811102552,0.3530142206767211
50049R,tpm,2,0.005873748949164726,0.002633768166114211,0.01100669633819603,0.33739243614246833
50049R,tpm,4,0.005356940306447538,0.0025689111588993283,0.010605989755002676,0.08840519391564529
50049R,tpm,8,0.005228859567818689,0.0025184645581024906,0.010423575148850993,0.08282219112193032
50049R,tpm,16,0.0050687175604372066,0.0024669844642139856,0.010167963604420734,0.09607266880580669
50049R,tpm,32,0.004828916854356308,0.0024163224513686172,0.00990802540255064,0.10406265499879006
50049R,tpm,64,0.004148257218870879,0.0021386566003058272,0.008802976889624994,0.08155455614542492
50049R,mc1,1,0.005800539535239389,0.002656513209233191,0.01047857091294373,0.27927503766993
50049R,mc1,2,0.005433323557075666,0.0025251823201126113,0.009908040446298819,0.2569437615112841
50049R,mc1,4,0.0049391606963669725,0.0023944852512627723,0.009364315327788706,0.14383377495746424
50049R,mc1,8,0.004594568475481286,0.0022698017981771794,0.008827219274926594,0.11071035370979236
50049R,mc1,16,0.00422848898769632,0.002125823494551753,0.008288669142114137,0.09314597209737188
50049R,mc1,32,0.003759775982660399,0.0019408161721549849,0.00740599133432044,0.0956982252594131
50049R,mc1,64,0.002967756854893204,0.0015600503388125623,0.006066304497153077,0.07069852831829686
50034R,tpm,1,0.0053782598585095836,0.0021924366288295946,0.009050897069786436,0.21457076245130288
50034R,tpm,2,0.005249658582810772,0.002151755913453418,0.008840191777492776,0.3204792515173646
50034R,tpm,4,0.0051207471068682045,0.0021174958359736775,0.008582795762274636,0.29803722006486083
50034R,tpm,8,0.005059615928450919,0.002098167117554248,0.008543684947512798,0.27233541301566777
50034R,tpm,16,0.00500785629286978,0.0020950659274732593,0.008698677363829468,0.24403282412313632
50034R,tpm,32,0.004939753497222002,0.00211435075758922,0.009017332000509156,0.22217096720547136
50034R,tpm,64,0.004079764138713127,0.0018699274296556775,0.008228467395806299,0.09488753677692213
50034R,mc1,1,0.0057271465524525965,0.0024514762414502506,0.009191874073383536,0.25208608601210625
50034R,mc1,2,0.005199481497366598,0.0022990206790629826,0.00863412066269403,0.24029543765594072
50034R,mc1,4,0.004829423333470005,0.0021877137378434977,0.008206690930123585,0.2342281011414846
50034R,mc1,8,0.004424135251816803,0.0020645451193485598,0.0076688659587642845,0.21909942062874785
50034R,mc1,16,0.003945890385667106,0.0019109700255044858,0.007125285265795,0.20646965504696166
50034R,mc1,32,0.0032843760916918792,0.0017284380936742323,0.006517308637721388,0.14432670419919502
50034R,mc1,64,0.002639679636284235,0.0013933045117936397,0.005326504864260512,0.1344341807585665
