sub,bone,fel,b2b_rmsd,f2b_rmsd,f2f_rmsd,f2f_d_mean,f2f_d_median,f2f_d_std,f2f_d_max,f2f_d_99,f2f_d_95,b2b_d_mean,b2b_d_median,b2b_d_std,b2b_d_max,b2b_d_99,b2b_d_95,f2b_d_mean,f2b_d_median,f2b_d_std,f2b_d_max,f2b_d_99,f2b_d_95,field_points,field_cells,field_A,smooth_points,smooth_cells,smooth_A,smooth_V,remesh_points,remesh_cells,remesh_A,remesh_V
14548R,tpm,0.6,0.008509781748050768,0.46093932601263105,0.03551069229551222,0.010312749728719619,0.0042877143210445,0.033980236319651226,0.6783373860407899,0.16130776365966998,0.023783116789637147,0.005786281858656426,0.003727659477187501,0.006239817918148055,0.06907844705399074,0.029350560420149996,0.01842216210955556,0.45205436931692794,0.44421315721259597,0.09006613928915268,0.7618551396349282,0.6927464095618125,0.6199048769703024,346,615,77.31554360972756,8454,16904,752.4536245413801,1435.7870266188986,2967,5930,748.498645717512,1431.8622361437758
14548R,tpm,0.424,0.004364596704606394,0.4618836907371774,0.012823238736201115,0.0043537849720292595,0.0020995258051912454,0.01206150936255247,0.23198634517879696,0.05736691430514821,0.011304336366926864,0.00286959814242434,0.001761677345179537,0.003288633590848299,0.03341425484205544,0.015485775318167623,0.009533832152592993,0.4520251842109429,0.4418453448618518,0.094919843068031,0.7790419228249198,0.709172710909521,0.632403200258914,713,1317,79.18226034551984,8454,16904,752.4536245413801,1435.7870266188986,4198,8392,749.0737351575135,1432.8582304040892
14548R,tpm,0.3,0.002397912146602993,0.46180259455242834,0.008206740719808207,0.0026351109876857027,0.0011860960096833793,0.007772180088285151,0.19276129388827015,0.029798125526526272,0.007181263420662277,0.0014622620177421957,0.0008015427583329439,0.0019004663781016216,0.028152551514858203,0.009102090261836207,0.005116587137779442,0.45177173285464434,0.4426388566844732,0.09572845830194063,0.7630042939021632,0.7065510237531227,0.6348776541976704,1235,2327,79.71851519643492,8454,16904,752.4536245413801,1435.7870266188986,5897,11790,749.404945053764,1433.3329986862586
14548R,tpm,0.212,0.0015147269676925037,0.4615183955273246,0.004336630898593592,0.0013191677940610535,0.0006022568746777599,0.004131121383080962,0.12272088509637592,0.01058041871595202,0.0037530481546340245,0.000884094410636817,0.00042563199730884693,0.0012299491289218699,0.01813523621732907,0.005901762659395753,0.003323917015533543,0.45136025675195834,0.4415452717789508,0.09629718601767316,0.7680605993152684,0.7132317895663,0.634918282263289,2775,5333,80.05802192960267,8454,16904,752.4536245413801,1435.7870266188986,10108,20212,749.5160865919057,1433.520443145489
14548R,tpm,0.15,0.0009007888611819946,0.46285563561813264,0.002892450576286943,0.000891480998370379,0.0004058394312167177,0.002751641685577397,0.09851206442536983,0.0066785664458897265,0.0027200551570505404,0.0004764068409358238,0.00017824770052579742,0.0007644979361248161,0.01091183673519006,0.0036889045049093997,0.0019419406506510114,0.4526160967070551,0.4426272665516764,0.09681946304919906,0.7813420772259466,0.7155514300843578,0.6387777707943999,4800,9310,80.68262850842399,8454,16904,752.4536245413801,1435.7870266188986,15813,31622,749.650855427332,1433.6278491878477
14548R,tpm,0.106,0.0005846768790892839,0.46236254398923465,,,,,,,,0.00027709452632209244,6.475009777309756e-05,0.00051484529367949,0.007675287112034221,0.002509056892821962,0.0012406099769633467,0.4521669381965964,0.4429131414483643,0.09656180448869162,0.7846733435637757,0.7123194079388019,0.6356650846140384,10982,21529,80.86293358185736,8454,16904,752.4536245413801,1435.7870266188986,31029,62054,749.728938160852,1433.6973029955361
14548R,mc1,0.6,0.008702036348364557,0.4559653260392895,0.028896814023238116,0.009523062114066524,0.004240359819614098,0.027282542928862806,0.39121553356039435,0.16255041933082687,0.021254874289377026,0.0058265423977275025,0.003798586376501713,0.006463500622398191,0.06460649274725384,0.030810556461478462,0.018918822352651393,0.4469032404704525,0.44144222561209323,0.09045370200895338,0.7428535955962856,0.6929891150613996,0.6178978030906219,328,575,69.4615835152363,17124,34244,1539.6592503324684,3344.747019612042,6032,12060,1535.0110961921152,3337.9936160924
14548R,mc1,0.424,0.004335418269672009,0.45472811973277455,0.013101999492778951,0.004513175934592127,0.0021661463570755244,0.012300147710178051,0.23199610205360424,0.06783687276018606,0.010698481026816864,0.0028731565447987434,0.001819467859238998,0.0032466633706138962,0.03805768608104134,0.015228089620437315,0.009287899753344618,0.4448123487395768,0.4388361477881141,0.09444383137339175,0.7529000493450206,0.7097527991631534,0.6349946941358172,650,1191,70.11241114156806,17124,34244,1539.6592503324684,3344.747019612042,7179,14354,1535.5342188200493,3338.9644696063906
14548R,mc1,0.3,0.0025807677290918913,0.4570481797809387,0.011398320380386896,0.0029584264395251837,0.0012255328638141089,0.011007698237863428,0.4048756738851901,0.03934872293818618,0.006998366346152263,0.0014787655828739324,0.0007501753252794382,0.002115092060036545,0.03245706445067358,0.010460227795452245,0.005299586362619356,0.44684309515801895,0.43989933553748417,0.09604315150322225,0.76509931586107,0.7063923464694284,0.6385002518460087,1171,2189,71.63039082761347,17124,34244,1539.6592503324684,3344.747019612042,8883,17762,1535.8513669507918,3339.4124790479505
14548R,mc1,0.212,0.0016537208090368625,0.4571369543274532,0.005716053792941752,0.0015989309728810352,0.0006439069099872213,0.005487867592040236,0.1616805831068738,0.01875446081913892,0.004310686541428071,0.000955434412649074,0.00047927060520765917,0.0013497916866566685,0.020132991309984957,0.006639879565780236,0.003489897334782255,0.44671278812387955,0.43972664333185696,0.09706636872969872,0.7668706411617782,0.7125451961200915,0.6444671408328729,2528,4835,71.746571223231,17124,34244,1539.6592503324684,3344.747019612042,12700,25396,1536.0070620117233,3339.6273601815824
