sub,bone,iters,rmsd,d_mean,d_median,d_std,d_max,d_99,d_95,smooth_points,smooth_cells,smooth_A,smooth_V,remesh_points,remesh_cells,remesh_A,remesh_V
14818R,tpm,1,0.0012890833058464039,0.000646733201692504,0.0002501072625009785,0.0011151107277936377,0.019405145619615826,0.005527152807324583,0.0026770181673758647,9398,18792,822.7923032276855,1747.1544247935296,11434,22864,820.1119564449652,1744.7709912154864
14818R,tpm,5,0.0014780697426427024,0.000787159331212865,0.0003297531705827261,0.0012510277180783724,0.01606834150348839,0.006295742130525411,0.003123190955933208,9398,18792,822.7923032276855,1747.1544247935296,11051,22098,819.931326615901,1744.6284465165243
14818R,tpm,10,0.0015311415643322402,0.0008404080870601618,0.00037492987757388246,0.0012798862204233858,0.018697766429699766,0.006380285961183246,0.0033229970695929827,9398,18792,822.7923032276855,1747.1544247935296,11016,22028,819.8702344841511,1744.5819469381383
14818R,tpm,20,0.0016098179560386401,0.0008914450523338946,0.0004087165933924401,0.0013404624464168492,0.01872363070173105,0.00677687020592625,0.0034657726398358065,9398,18792,822.7923032276855,1747.1544247935296,10999,21994,819.7865878670943,1744.5190977597654
14818R,tpm,40,0.0017030966034507617,0.0009524628770292391,0.0004399874787337198,0.0014118613630830419,0.019206735766099242,0.006945242044502628,0.0037272236650553983,9398,18792,822.7923032276855,1747.1544247935296,10993,21982,819.6942106335531,1744.4367528549208
14818R,tpm,80,0.0018429716376008464,0.0010286404277865602,0.000483946435445784,0.001529196955046742,0.0225835235564315,0.007676847327644142,0.003987056881041153,9398,18792,822.7923032276855,1747.1544247935296,10993,21982,819.702713929568,1744.4620166247541
14818R,mc1,1,0.0012881188300215946,0.0006653946200283569,0.000276523673470458,0.0011029506425464018,0.023825066874505155,0.005291803617232305,0.0026269153328586908,20334,40664,1820.777018216152,4360.63947725688,15700,31396,1817.1062455244967,4355.333772570416
14818R,mc1,5,0.0014687061550287645,0.0008005390701258824,0.00035452696540729824,0.0012313549313749325,0.021654643909245392,0.006021601133881172,0.003086880808083377,20334,40664,1820.777018216152,4360.63947725688,15135,30266,1816.9395659951865,4355.224004512587
14818R,mc1,10,0.0015459453882309753,0.0008685123281401985,0.0004050414107140705,0.0012789188712584991,0.022414964260272428,0.006279235583567268,0.0033198531190572504,20334,40664,1820.777018216152,4360.63947725688,15092,30180,1816.872778589672,4355.137598012991
14818R,mc1,20,0.0016063927976496081,0.0009139239032015002,0.0004382626679126154,0.0013210756675896614,0.021305295287605913,0.006445202107492679,0.0034579400660577526,20334,40664,1820.777018216152,4360.63947725688,15069,30134,1816.8002372636902,4355.053352012877
14818R,mc1,40,0.0017234856995715342,0.0009892497278699156,0.0004823188023858452,0.001411307171574239,0.02400680886310052,0.006907663355477948,0.0036696483561417157,20334,40664,1820.777018216152,4360.63947725688,15049,30094,1816.695905252257,4354.930021532996
14818R,mc1,80,0.001835575557107732,0.001052775293689005,0.000518219363924909,0.0015036627969226978,0.021916418612320514,0.007270170927478589,0.003908214015761882,20334,40664,1820.777018216152,4360.63947725688,15038,30072,1816.6283295747198,4354.890226152955
14874R,tpm,1,0.0012262368496818396,0.0006468929705704269,0.0002886645989600427,0.0010417227539725774,0.019936774592027102,0.004948378476021769,0.0024332676560823415,5302,10600,725.3636259927862,1432.1503576801945,11406,22808,723.5012582871839,1430.589314926416
14874R,tpm,5,0.0014505616287640302,0.0007878490688915499,0.000348495578793278,0.0012179584900518057,0.01976874194411454,0.005905894303762197,0.0030328136319986623,5302,10600,725.3636259927862,1432.1503576801945,11196,22388,723.2773773366389,1430.4583717579387
14874R,tpm,10,0.0015303537841726588,0.0008474699237917669,0.00037837074471042034,0.0012742752579407456,0.02101252946272123,0.006149909521877839,0.0032066433421975194,5302,10600,725.3636259927862,1432.1503576801945,11181,22358,723.1637094842554,1430.353701095261
14874R,tpm,20,0.0016790910114256462,0.000931896506412432,0.00042241297299855753,0.0013967517767974034,0.025393311587198625,0.006764961751802311,0.0035578544260399586,5302,10600,725.3636259927862,1432.1503576801945,11172,22340,723.0070555372274,1430.2218633222365
14874R,tpm,40,0.001740186685399668,0.000979138224924355,0.0004526757619841153,0.0014385889046333793,0.026015011829199478,0.007042808565046046,0.0036311358114315163,5302,10600,725.3636259927862,1432.1503576801945,11161,22318,722.8735859171738,1430.1217873057835
14874R,tpm,80,0.0019224012473562666,0.001073904019451191,0.0004909012928835819,0.001594476940204375,0.021277385438006575,0.008046235782353259,0.004025094677267014,5302,10600,725.3636259927862,1432.1503576801945,11167,22330,722.8461400978474,1430.1869472545047
14874R,mc1,1,0.001276691571176484,0.0006630175002542115,0.00025627944119995265,0.0010910312379898827,0.01879175678795304,0.005390433313595935,0.00273024594897984,12660,25316,1746.8918667198695,3990.966640064526,15549,31094,1743.672011128792,3986.6654962750617
14874R,mc1,5,0.0015137122182809775,0.0007963905380703646,0.0003167929641796684,0.0012872788317396945,0.017751958107580703,0.006381561289337829,0.0032263707052772356,12660,25316,1746.8918667198695,3990.966640064526,15144,30284,1743.3212970916939,3986.338204673574
14874R,mc1,10,0.0015825945743471158,0.0008510797055475628,0.00034520739177647833,0.0013342671852211619,0.02077049041935069,0.0066485822734292715,0.003440280255716675,12660,25316,1746.8918667198695,3990.966640064526,15116,30228,1743.1636582126023,3986.164800511385
14874R,mc1,20,0.0017374957982401245,0.0009405718625194663,0.00038551319242635836,0.001460895691121974,0.021887793000469984,0.007142115609187289,0.003759560744237606,12660,25316,1746.8918667198695,3990.966640064526,15108,30212,1743.0061373091248,3986.0014486062914
14874R,mc1,40,0.0018552750903759174,0.0010066619017065595,0.0004266289904297526,0.0015584214695074955,0.022841338154081788,0.0076271615131800335,0.0038925535794975545,12660,25316,1746.8918667198695,3990.966640064526,15096,30188,1742.8629234641426,3985.841338063672
14874R,mc1,80,0.0019649394954398248,0.0010772770647509144,0.000456439856119744,0.001643308049788891,0.020787534554574758,0.008033678610379019,0.0042344658165799475,12660,25316,1746.8918667198695,3990.966640064526,15089,30174,1742.7821156070577,3985.691300357124
22306R,tpm,1,0.0010715315014553784,0.0005493891423789547,0.00022732424682549352,0.0009199735479063158,0.017379489522811948,0.00441254807472882,0.0021817928123842464,7418,14832,987.9323968236718,2036.6725321831502,13877,27750,984.9992721131471,2034.2351576681315
22306R,tpm,5,0.0012182790784170429,0.0006537335092957567,0.0002796541630415475,0.001028025491771743,0.020385016263005436,0.005050424592535398,0.0025249844785225867,7418,14832,987.9323968236718,2036.6725321831502,13605,27206,984.6868404959991,2034.0474113543528
22306R,tpm,10,0.0013173992340343805,0.0007162222734567111,0.0003099927805019782,0.001105697244655549,0.016494080383885473,0.005401623348182174,0.0027679316861300156,7418,14832,987.9323968236718,2036.6725321831502,13580,27156,984.5612561540577,2033.952734929586
22306R,tpm,20,0.0014476796634149633,0.0007969531943767003,0.00034523173128410677,0.0012085702353765106,0.017370699366763616,0.005776897430779048,0.003093898289707721,7418,14832,987.9323968236718,2036.6725321831502,13570,27136,984.4049904142083,2033.8189198612283
22306R,tpm,40,0.0015960650436904525,0.0008796562611205438,0.00038245449367353956,0.0013317764399335317,0.02035542900744862,0.0065230335141404396,0.003387038279368984,7418,14832,987.9323968236718,2036.6725321831502,13567,27130,984.2509686292567,2033.7225051460873
22306R,tpm,80,0.0017627400429216754,0.0009783730501199822,0.0004255419731820248,0.0014663010037909792,0.020546339293480015,0.007247413541217339,0.0037967003676289417,7418,14832,987.9323968236718,2036.6725321831502,13575,27146,984.2364309244169,2033.7726975932858
22306R,mc1,1,0.001195782789177797,0.0005936308825716291,0.00023567162437396829,0.001038026422665175,0.025577764741470364,0.005001279432610008,0.0023530899205576124,13964,27924,1826.9771499818253,4435.182668519776,16863,33722,1823.901822321111,4430.5217171513295
22306R,mc1,5,0.0014347358435594013,0.0007138340972733495,0.0002697227904750136,0.0012445512534098582,0.01931918873668777,0.006277650061297929,0.0028444844946353565,13964,27924,1826.9771499818253,4435.182668519776,16383,32762,1823.6492865990674,4430.263484779831
22306R,mc1,10,0.0015490212830734534,0.0007751627987668664,0.00029588843140200696,0.0013411150475714031,0.022364902827157154,0.00677102499626676,0.0031112734413964232,13964,27924,1826.9771499818253,4435.182668519776,16351,32698,1823.5245639963182,4430.113098602686
22306R,mc1,20,0.001637582327252545,0.0008391345654686212,0.00032592335260232027,0.001406246443396622,0.020391878856692868,0.00717557121158082,0.003359400658519483,13964,27924,1826.9771499818253,4435.182668519776,16337,32670,1823.3879885904091,4429.947761882464
22306R,mc1,40,0.0017112667317962411,0.0008983354466651285,0.0003641498794886383,0.0014565120159537143,0.02431816670263254,0.007388630522647518,0.0035598657126008483,13964,27924,1826.9771499818253,4435.182668519776,16333,32662,1823.2510036160743,4429.765347162124
22306R,mc1,80,0.001886163439198291,0.0009798734858965567,0.0003858282276296512,0.0016116638827637902,0.020538425319616756,0.008053102856913325,0.00398560987376781,13964,27924,1826.9771499818253,4435.182668519776,16331,32658,1823.2042107331172,4429.635629231869
50000R,tpm,1,0.0012418829304690331,0.0006583506487269869,0.00027630891734026306,0.0010530183456669254,0.01716716317171603,0.005267263833997282,0.002571802038505047,7334,14664,677.1266311891493,1306.8366928853434,10808,21612,675.0749972141939,1304.9039558029422
50000R,tpm,5,0.0013411076209735742,0.0007512895271852406,0.00033799964958629064,0.0011109157021912948,0.014734291446049576,0.005559138580362288,0.0028666405371085197,7334,14664,677.1266311891493,1306.8366928853434,10478,20952,674.957503889867,1304.853160596501
50000R,tpm,10,0.0014380159857586246,0.0008240682780375125,0.0003889036301087727,0.0011784742035486555,0.01953235980058051,0.005719302710326024,0.0031037792597353054,7334,14664,677.1266311891493,1306.8366928853434,10451,20898,674.9119960125413,1304.8157148344496
50000R,tpm,20,0.0015218695189500025,0.0008872019959601593,0.00043089347393502687,0.0012365109991720336,0.017304202741661334,0.006033182855490447,0.0032719942048643,7334,14664,677.1266311891493,1306.8366928853434,10434,20864,674.8403001957738,1304.7541689642708
50000R,tpm,40,0.0015876116238520018,0.0009511381330532537,0.00048129797933423534,0.0012711596752737091,0.020028980807695936,0.006100219930660518,0.0034725785822914265,7334,14664,677.1266311891493,1306.8366928853434,10428,20852,674.7598989459998,1304.6891377076636
50000R,tpm,80,0.001790586946241442,0.0010588792558008332,0.0005450803423755817,0.001443944712821418,0.021100825913819735,0.0069835362455656766,0.003837992231968223,7334,14664,677.1266311891493,1306.8366928853434,10424,20844,674.7650628484969,1304.734690341999
50000R,mc1,1,0.0012630706452049928,0.0006889817738203802,0.000309176497153179,0.0010586083176141587,0.023788961035835138,0.0050834024444085385,0.002660315341182003,16162,32320,1540.8547975938645,3347.7743314356962,14409,28814,1538.2669244462672,3342.943927199496
50000R,mc1,5,0.001399742154126732,0.0007899009992906146,0.0003783438392153349,0.001155566748119308,0.02663324971654507,0.005614848442418599,0.002965222648904852,16162,32320,1540.8547975938645,3347.7743314356962,13995,27986,1538.1317771938297,3342.8870337678563
50000R,mc1,10,0.0014641662182238412,0.0008358392488018034,0.0004058723431675682,0.0012021461910892294,0.025039664632048136,0.005890316746246213,0.003126169567557767,16162,32320,1540.8547975938645,3347.7743314356962,13975,27946,1538.0558489564087,3342.809304908895
50000R,mc1,20,0.0015623153889042399,0.0009003921976197416,0.00043811261864589747,0.001276762806817499,0.02289463934685036,0.0063624107555307376,0.0033226046245968767,16162,32320,1540.8547975938645,3347.7743314356962,13955,27906,1537.9522970034197,3342.7034802985204
50000R,mc1,40,0.0016210163133041568,0.0009509413999569148,0.0004747509506607406,0.0013127849564365762,0.022959845022602725,0.006698432170919536,0.0034425223745106702,16162,32320,1540.8547975938645,3347.7743314356962,13942,27880,1537.8711904053318,3342.598724886762
50000R,mc1,80,0.0017296731262177302,0.001020852949733977,0.0005169376042652301,0.0013962909362232696,0.014596664943013518,0.006914272159688139,0.0036908407415603317,16162,32320,1540.8547975938645,3347.7743314356962,13935,27866,1537.8466489744872,3342.556322141581
50049R,tpm,1,0.00139206114459851,0.0006939464488389548,0.000289699210755719,0.0012067611845119639,0.025505204499107002,0.005966803735878386,0.0027847805122937245,10944,21884,1005.8902294579582,2205.0112355508904,13449,26894,1001.0685847278304,2202.055190390409
50049R,tpm,5,0.0015706553614597213,0.0008363532160722283,0.00037294151532179945,0.001329462884945574,0.02624494463804558,0.006638311337806314,0.00327065727026042,10944,21884,1005.8902294579582,2205.0112355508904,13068,26132,1000.4026214009269,2201.8717007895175
50049R,tpm,10,0.0016107105356677595,0.0008752654585840572,0.00039929835174396064,0.0013521460005194563,0.021881875994327685,0.006806792886471574,0.0033753808713929963,10944,21884,1005.8902294579582,2205.0112355508904,13025,26046,1000.3312930965747,2201.8246096425078
50049R,tpm,20,0.001707152042935523,0.0009461988411496247,0.0004492880182869044,0.0014209418885746301,0.024765045752818477,0.007017302737881764,0.00359185551868856,10944,21884,1005.8902294579582,2205.0112355508904,12997,25990,1000.2379089123068,2201.798988535585
50049R,tpm,40,0.0017966967916954043,0.0010126259813824177,0.0004752794362167552,0.0014841522776042402,0.019452649634776525,0.007345938680494104,0.0038783114926253773,10944,21884,1005.8902294579582,2205.0112355508904,12990,25976,1000.2073884046367,2201.8026943046375
50049R,tpm,80,0.0019764556198731465,0.001120029058123386,0.0005194154633055958,0.001628469135810496,0.02559212460376633,0.007931058327846362,0.004304888499754386,10944,21884,1005.8902294579582,2205.0112355508904,12991,25978,1000.227597254062,2201.9001386290224
50049R,mc1,1,0.0015567621110436237,0.0007521291085230146,0.0003065118190253853,0.0013630150675958705,0.03982460556532626,0.0066911931081301765,0.0029948169768304477,21216,42428,1990.4289025392277,4807.280115313531,17766,35528,1985.4888975931185,4801.556581504902
50049R,mc1,5,0.0017810342629980419,0.0008908401869371214,0.0003738901940604387,0.0015422343555085308,0.03253215808686101,0.00776227299550314,0.0035333161734231898,21216,42428,1990.4289025392277,4807.280115313531,17107,34210,1984.8052030895624,4801.528194287247
