sub,bone,iters,L_edge_mean,L_edge_median,L_edge_std,L_edge_max,L_edge_99,L_edge_95
14818R,tpm,1,0.17658992419198874,0.17365301609526645,0.025913986716597906,0.29203314880335773,0.24283756775953289,0.22195208490837873
14818R,tpm,5,0.17836606841611624,0.17645344995209433,0.020553429265178544,0.25347287823355547,0.22846443656717774,0.2140663704825441
14818R,tpm,10,0.1786277901883003,0.17681693922001623,0.01943275362578907,0.24910971478446567,0.22712581821378125,0.21231110426926217
14818R,tpm,20,0.17872804805390655,0.17694506209508365,0.0187663115210764,0.24973710176903874,0.2262971951876841,0.21112621450773628
14818R,tpm,40,0.17899251251293063,0.17756004618157453,0.018356307280659165,0.25255646893317607,0.22570500067378418,0.21050389952708068
14818R,tpm,80,0.1796804397798962,0.1784683445054155,0.018226189652769918,0.2569795517156968,0.22714223006122264,0.21089785203450495
14818R,mc1,1,0.1785847535235686,0.17690395699362016,0.027392460064855323,0.29712726229680864,0.24615815409276764,0.22640635589411148
14818R,mc1,5,0.18031380341729966,0.17904161527421247,0.021411304778269746,0.2556055554951801,0.23306553755417417,0.21742991051583382
14818R,mc1,10,0.18052093919145554,0.1793804337034234,0.02041674475688003,0.2551454683117229,0.2306041876420685,0.21618864441434354
14818R,mc1,20,0.18060257980020442,0.17957794964860901,0.0197989900698939,0.25401639710853763,0.22989200109094846,0.21476024072711442
14818R,mc1,40,0.18080375108664432,0.17987252430327344,0.019437880472016895,0.25489560608217415,0.2295346108632054,0.21428908510819009
14818R,mc1,80,0.18146456175923995,0.18060375134011902,0.019261788220011823,0.25760252327957933,0.2301857870540966,0.21467853869044176
14874R,tpm,1,0.1886367895881492,0.18858903732719326,0.028058060242565127,0.28198455631469704,0.25275974248609756,0.23562276510733374
14874R,tpm,5,0.189486414276788,0.18921666145872273,0.02184993232175308,0.2678157015561249,0.2415794914713285,0.22610042790760096
14874R,tpm,10,0.18940620295314098,0.18905935575898022,0.020941504374896353,0.26725036950396397,0.23973465307818168,0.22430248315892842
14874R,tpm,20,0.18933115939200354,0.18914542024465478,0.020270142185520326,0.26057169838645305,0.23794176353045995,0.22316224142788954
14874R,tpm,40,0.1893919289088167,0.1893152133347949,0.019872194587983217,0.2594270032205658,0.23719584050041317,0.22248695463717283
14874R,tpm,80,0.18989815340641217,0.189863872287488,0.019680522862252945,0.26027304893131614,0.23773136212131887,0.22242287424811338
14874R,mc1,1,0.18744934143943434,0.18758498074052288,0.027821946876268325,0.29369882532962244,0.2524709928151723,0.2337999058960324
14874R,mc1,5,0.18813604197002506,0.18795555325586102,0.022109369657540137,0.2672426799745857,0.24027088273315533,0.22446675810236283
14874R,mc1,10,0.188150475086957,0.18794253110951525,0.02128005261348525,0.2644680699063793,0.23877111845642443,0.2233306517242193
14874R,mc1,20,0.188125308978569,0.18786700082771532,0.02082550940865773,0.26339743734515625,0.23781367355668656,0.22246569606699743
14874R,mc1,40,0.1882410744182558,0.18804730787738325,0.020477342061890363,0.26237494163886993,0.2378490021622192,0.22197491403790262
14874R,mc1,80,0.18871368893521948,0.18858976641059275,0.02030635587374189,0.262468074249046,0.23781540624370703,0.2220737715032138
22306R,tpm,1,0.18866778268077117,0.18866205235816155,0.027597595163382085,0.28284845765886585,0.2519899725247009,0.23486202737407072
22306R,tpm,5,0.18902223629725132,0.18880398565536022,0.022325692437623567,0.26537673221290364,0.2424583534244732,0.22686830867719548
22306R,tpm,10,0.1890068005259819,0.18877801778809325,0.021523106047410985,0.2664347011933778,0.24135807580464638,0.22532812074382302
22306R,tpm,20,0.18893354628467363,0.18879968220313229,0.02108213516417071,0.26505855956750846,0.23967859253219373,0.22417740741480463
22306R,tpm,40,0.1889927226155013,0.1889133796213634,0.020778092891474986,0.2657654793234006,0.23830429244558388,0.22377451576914548
22306R,tpm,80,0.1894232550832496,0.1894592436025459,0.02054318330325303,0.2629902089432149,0.23796429290067886,0.22375553620446945
22306R,mc1,1,0.18671654802119597,0.1872792166775018,0.027808413184824726,0.286083781434747,0.2519023140499589,0.23245340608249276
22306R,mc1,5,0.18768219833362626,0.18787336160296547,0.02217804288313447,0.26381601543498595,0.24031222195787447,0.22433920740244753
22306R,mc1,10,0.18766505905169575,0.18785433186379835,0.021453542585926858,0.26292462798301164,0.23930193521936935,0.22279603001926027
22306R,mc1,20,0.18772391236920954,0.18792265696288074,0.02104467801893596,0.262557726985917,0.2387162078914237,0.22218186241648677
22306R,mc1,40,0.1878380886639407,0.18821362858615362,0.02069905417606115,0.2646909896464236,0.23783678649678078,0.22165729036919218
22306R,mc1,80,0.1882824385591607,0.1888106194047265,0.02043813134941497,0.2641812256766049,0.23737498983493213,0.22189250099547006
50000R,tpm,1,0.1779295144473266,0.17565114573104545,0.025631547250102155,0.28069520836665046,0.24171882198453076,0.22284120658194426
50000R,tpm,5,0.17936803134882676,0.17798473248896074,0.02075284360739724,0.2638996968546934,0.22970664414944578,0.21561350259093665
50000R,tpm,10,0.1794736234097239,0.17822640096237524,0.01978267793971125,0.26259659175243577,0.2277880706298129,0.21373735048109857
50000R,tpm,20,0.1796317143853701,0.17861960978136937,0.01912507697597794,0.2636199726879601,0.22689408643599793,0.21244709693512107
50000R,tpm,40,0.17983120237082592,0.17886090964768117,0.01872309471975601,0.26261502241874796,0.22611985654575967,0.21211609321217653
50000R,tpm,80,0.18053432074091869,0.17964938073925715,0.018553208320817464,0.2614170805437168,0.2265950617123389,0.2123647192820371
50000R,mc1,1,0.18247796312385403,0.18094099865881197,0.0276365455050604,0.28358568370070647,0.24960018768900682,0.2296531297295047
50000R,mc1,5,0.1834710293007878,0.18223135020869746,0.021737667468963492,0.2638649086180268,0.23574660161948527,0.22113329012159574
50000R,mc1,10,0.18347277782584243,0.18221956535735753,0.02095984363378061,0.26270272172171927,0.23413223419127024,0.21981771968349786
50000R,mc1,20,0.18351340584294873,0.18228200679006057,0.02041436520406044,0.2638055533911292,0.23268367805581014,0.21881494326806597
50000R,mc1,40,0.18357751724637542,0.1824726006829544,0.020110683230302222,0.26400981042378613,0.2317772680631572,0.21830880650990014
50000R,mc1,80,0.18403525152257372,0.1831171756007533,0.020009371601859848,0.26311763528885396,0.23203953152633933,0.21820940629957206
50049R,tpm,1,0.17882594057208495,0.17693763023660963,0.025686197858784194,0.2909266058647727,0.2426823926393817,0.22384461574076844
50049R,tpm,5,0.1803269733832828,0.1789464305268828,0.020663978651469895,0.2603893430999045,0.2313467111840306,0.21668302309362672
50049R,tpm,10,0.180649266675981,0.17937012014268414,0.01965728245782353,0.25753230865271265,0.22926393591644803,0.21523420964086018
50049R,tpm,20,0.1808792659816966,0.1796368837396417,0.01900757222999475,0.25631067086643405,0.2282375768785121,0.21447281868587886
