sub,bone,n_iter,rmsd,h_before_rmsd,h_after_rmsd,h_diff_rmsd,h_ratio_rmsd,d_mean,d_median,d_std,d_max,d_99,d_95,h_before_mean,h_before_median,h_before_std,h_before_max,h_before_99,h_before_95,h_after_mean,h_after_median,h_after_std,h_after_max,h_after_99,h_after_95,h_diff_mean,h_diff_median,h_diff_std,h_diff_max,h_diff_99,h_diff_95,h_ratio_mean,h_ratio_median,h_ratio_std,h_ratio_max,h_ratio_99,h_ratio_95,before_points,before_cells,before_A,after_points,after_cells,after_A
14818R,tpm,25,0.0012041859790276003,0.4681421951889393,0.46766047205771516,0.001298470570597948,0.001298470570597948,0.0007500154974084376,0.00047156285992266,0.0009420937457248264,0.01583638819319859,0.004614340245852068,0.0024353999300249407,0.4480964716483144,0.42190262106012943,0.13552367694484363,0.7771891845760058,0.7245104349619094,0.6870456832698709,0.4476811563231691,0.4216921745095563,0.1352327600783006,0.7773553743669248,0.7244378543993583,0.6856829406229422,0.00041531532514525705,0.00021309044857292792,0.001230259730060466,0.018157117249299526,0.004997659882786071,0.002469809544809642,0.0008015036764922218,0.0005130302059372646,0.002582856328598076,0.049782989664756326,0.009093825691578713,0.004805629772985426,2973,5721,76.58298784423985,2881,5539,76.20933732054593
14818R,tpm,50,0.0017350901909196621,0.46631697900429336,0.4655173977072766,0.0018450938034908645,0.0018450938034908645,0.0011184041287737583,0.0007238349771313718,0.0013265406798765877,0.01969444037857864,0.006624269510414236,0.0036028330949880944,0.4462917270325275,0.4208573071648237,0.13518586941694224,0.7779797510634537,0.7246787387197007,0.6872772694427648,0.44560265222770984,0.4203191685286398,0.13470235297048627,0.7783819060400802,0.7248806218174918,0.6852663301142817,0.0006890748048176602,0.0003792521104951929,0.0017115919656991523,0.019415069689402542,0.007246205628696704,0.003654705519336354,0.0013346737485831113,0.0009088273023791559,0.003503427124489136,0.048051526409279365,0.012797131667068392,0.007103666091316613,2973,5721,76.58298784423985,2872,5521,76.21309577582613
14818R,tpm,100,0.002880575356715249,0.467147937121248,0.4656968128486756,0.0028692393754864197,0.0028692393754864197,0.0019007880851657588,0.001249504881805602,0.0021644211792086754,0.023626534530227127,0.010983814754336952,0.006026891680866079,0.4470729378726734,0.4205380348346319,0.13547318324500354,0.7776773539723494,0.7281740678393688,0.6875868466747337,0.44581961111421625,0.4194090240604188,0.1346045907218002,0.7778590494667563,0.7283565314105268,0.6840123223016946,0.0012533267584570378,0.0007870908641834373,0.00258102821185226,0.021949016574733582,0.010808117855246694,0.005989349173113088,0.00242922578571845,0.0018799341338970547,0.005227463428279107,0.03954400755190005,0.018835994669281687,0.011379587137213697,2973,5721,76.58298784423985,2878,5533,76.34509541310476
14818R,tpm,200,0.004771421214798129,0.466161957365608,0.4635250533872095,0.004815966493336805,0.004815966493336805,0.0032896848868470613,0.002292023698217006,0.003456072012310462,0.035908549154582886,0.017154306966143215,0.0098912654633274,0.44631041786829756,0.4206257272566074,0.13458819189349652,0.7757409024951435,0.7249610311342773,0.6851682919715398,0.44401987089281975,0.41852617447008195,0.13304822197210742,0.7753904342611263,0.7249485198204332,0.6785083108820905,0.0022905469754777594,0.001548973169122253,0.004236381453324582,0.032966980691968684,0.017886168173907726,0.01012676831996126,0.0044756081658236715,0.00363527769462434,0.008569918740621872,0.05993622412864231,0.030224937081642103,0.019700839730024098,2973,5721,76.58298784423985,2869,5516,76.49139470207324
14818R,tpm,400,0.008278254382424575,0.4669269302392517,0.46201161155334486,0.008191549522961881,0.008191549522961881,0.005864560218896025,0.004234822974061109,0.0058426388780305335,0.046578097226507804,0.029609788486460988,0.017089847244346784,0.4471037069926151,0.42226794368429,0.13460695886956497,0.7748924978279015,0.7237004233263324,0.6866267416764926,0.4427754549691622,0.41802363059310077,0.13192659203879353,0.773743077507816,0.7229994203384053,0.6759678734868583,0.0043282520234529534,0.003286053286150059,0.006954690360369211,0.04450123596773481,0.028849929359506678,0.01710914358749142,0.008548626566468032,0.007776062757061886,0.014398855830916392,0.08040428345983784,0.050594492651040116,0.033418161696287654,2973,5721,76.58298784423985,2853,5483,76.5483148157471
14818R,tpm,800,0.014336504684304596,0.4658535185248986,0.45653482136253065,0.014346010137706405,0.014346010137706405,0.010550046271830586,0.00795495170009798,0.009707311173817451,0.06332900552449247,0.04805046251966399,0.029904304912439863,0.4459675899918275,0.4220691782055561,0.13465663518337775,0.7755850953123019,0.722666808707217,0.6858865235563233,0.437683810242082,0.41442209278940445,0.12983422263983793,0.7715006147456253,0.7217528853070142,0.6677698163416944,0.008283779749745522,0.006705955302953315,0.011712685427726681,0.06249578256538191,0.04842920946974501,0.029757304761421858,0.016526694175631757,0.015780605555092704,0.02444813465431189,0.13270518111456778,0.08479219175305762,0.05794830066833632,2973,5721,76.58298784423985,2861,5500,76.7863751570581
14818R,mc1,25,0.0008638466856505545,0.478221083295988,0.47803254023378566,0.0009162627792938578,0.0009162627792938578,0.0005979121939132222,0.00041792961755280993,0.000623483844762096,0.007699790626685633,0.0030528486412863013,0.0017707253307611482,0.4578047734627062,0.43748741197116486,0.138239624939988,0.7464386937204548,0.70473431913122,0.6840403893151613,0.4576422133341518,0.43757471714704554,0.13812571844875454,0.7457308065046453,0.703932950679926,0.6836065724867514,0.00016256012855436622,9.29328929895612e-05,0.0009017270569987864,0.015936635009220934,0.0029084366028383594,0.0016086584692035714,0.00032151510912520174,0.00021832099132383382,0.0019466145787537911,0.03156939897822822,0.005949694800871585,0.0034219126318386192,2903,5560,74.041891412791,2792,5344,73.95087957878388
14818R,mc1,50,0.0012205429577063188,0.47768466988559216,0.4773497975323429,0.0012462592293224905,0.0012462592293224905,0.0008941940446663537,0.000669389409073156,0.0008307479293321867,0.008972933398349968,0.004049948374214391,0.002489414037810818,0.4570161231922181,0.4360186230520785,0.13899247096897907,0.7459449843160593,0.7035931532011422,0.6836471726838778,0.4567185294857953,0.43604095658055997,0.13882007790122258,0.7442242286855991,0.7023704630070924,0.683163324233869,0.00029759370642282466,0.00020427115714674593,0.0012102066156524736,0.011212260886635517,0.004003809195010689,0.0023559243022925826,0.0006094178929127722,0.0004626052242419442,0.0026819513955893878,0.02182926693275361,0.00819388385878481,0.005124046362024075,2903,5560,74.041891412791,2793,5346,74.00415031500503
14818R,mc1,100,0.0020030787073793523,0.477116331961071,0.4765191128512444,0.0020030550253737067,0.0020030550253737067,0.0014997772433395706,0.0011691220390302086,0.0013277772886735543,0.011233695054657454,0.006392265017594553,0.004065366981996917,0.4567208868307344,0.4362841147762415,0.13800733950241334,0.7403537972268223,0.7041746724058285,0.6833887950224857,0.4561806370985502,0.4367100895548727,0.13773050224586347,0.739012042553945,0.7016876964027571,0.6825233530645083,0.0005402497321842336,0.00037275058622859847,0.0019288233878584436,0.010382372602986134,0.006384440611839839,0.0038994842852125423,0.0011269656096514079,0.0008503488593795878,0.0044321049580118505,0.023912924133887747,0.014168794260919429,0.008709174564802701,2903,5560,74.041891412791,2777,5314,74.10847558680713
14818R,mc1,200,0.0034299220489034652,0.47859174286865797,0.47745163863454065,0.003448887681701228,0.003448887681701228,0.0026349907156809124,0.0021341247756855547,0.0021957206538695986,0.018158552926627353,0.01036524788167423,0.006899274925113142,0.4582256933128547,0.438423611554695,0.13812773193683187,0.743879524144122,0.7036400512771378,0.6828395146902719,0.45719344143963325,0.43912508970807274,0.13760168726942493,0.7425298797276572,0.6989172738266191,0.6812794497259035,0.0010322518732214286,0.0007708527015496958,0.0032907874910454676,0.017602758786259,0.0106268843822882,0.006748836532357481,0.0021373409961714072,0.0017097168013160092,0.007788820496724747,0.0534426720371156,0.02569601015060251,0.014744705171038342,2903,5560,74.041891412791,2785,5331,74.1457426519092
