subject,bone,edge_dist,h_min,h_max,h_mean,h_median,h_95,h_5
14548R,tpm,1.4-1.6,0.2907474403722226,0.8130699081569804,0.5107822038737372,0.48844632748748207,0.7510938714503921,0.3303248007435195
14548R,mc1,1.4-1.6,0.2921488524779629,0.7785594593524661,0.5301547688163325,0.5386493910660832,0.7409176245115751,0.330187890156929
14685R,tpm,1.4-1.6,0.2619669876602747,0.7388294307552352,0.5221223584777771,0.5684995034299443,0.6954315010850846,0.3033311739783169
14685R,mc1,1.4-1.6,0.23113126246654556,0.8337688828598391,0.5085799128183233,0.5070388614993648,0.7969656069807476,0.291166059737058
14726R,tpm,1.4-1.6,0.24184161792274358,0.797662841582971,0.48464413685389685,0.49870319267743124,0.6740597715751562,0.28202859548309356
14726R,mc1,1.4-1.6,0.21713390686294448,0.7602225970289985,0.45492347094948615,0.4485558983102215,0.6860893553495812,0.2685413280936906
14727R,tpm,1.4-1.6,0.21924535594064765,0.9023162915387286,0.5700193573819161,0.6003830847470399,0.8170920322237256,0.2761431626491239
14727R,mc1,1.4-1.6,0.20125804293783964,0.8275502437721898,0.5280778620907377,0.5488897616804251,0.7812045666380268,0.2582471539849331
14818R,tpm,1.4-1.6,0.34670987766961153,0.8256914752699879,0.5656295486846596,0.5439648564879177,0.769644618209688,0.37629008494638605
14818R,mc1,1.4-1.6,0.3297781958826308,0.7765762189553147,0.5472191979464164,0.5466995055750795,0.738763897994328,0.34351179757143757
14819R,tpm,1.4-1.6,0.2325797227941547,0.6576274425324937,0.43654307258155767,0.4347719465077195,0.6290415337214987,0.2666007984994903
14819R,mc1,1.4-1.6,0.21186335363503708,0.6862069307158323,0.46219330955836474,0.4099763484156196,0.6518781210606933,0.26496654308645035
14827L,tpm,1.4-1.6,0.3639282613421131,0.6159497621608258,0.4889141234915619,0.4921205605929879,0.5752193049579051,0.3858327873959644
14827L,mc1,1.4-1.6,0.2565117225390684,0.6534403260204772,0.4653624819361561,0.4515615133894325,0.6126655719943819,0.3114215817881994
14873R,tpm,1.4-1.6,0.36205660450408106,0.7005042213425392,0.5488976791301363,0.5568796024804288,0.6530320423046035,0.3965854853183388
14873R,mc1,1.4-1.6,0.34182919609470813,0.810167912450549,0.5314006195452307,0.5055700039485531,0.737138531751042,0.378848023792097
14874R,tpm,1.4-1.6,0.16964401238045673,0.6613158604060719,0.45726448151120713,0.4842953323187672,0.6071900314086615,0.22058461776642646
14874R,mc1,1.4-1.6,0.19712880968159818,0.6176643511724684,0.3966938058322754,0.4039466832721962,0.5556336468002447,0.23520493098628184
15006R,tpm,1.4-1.6,0.26840297292996723,0.893645391692992,0.5749909896807024,0.5560234275054674,0.8787951513990606,0.3076567057936985
15006R,mc1,1.4-1.6,0.17089504907837072,0.8746940944008654,0.5155443021426785,0.46343398307215844,0.851368505594863,0.22046379503126268
15283R,tpm,1.4-1.6,0.2166982226600648,0.6609230405812067,0.4463957811673478,0.4417885172913797,0.6071182340966803,0.26921858270007043
15283R,mc1,1.4-1.6,0.22675577619905488,0.7368687940352833,0.4570206884843766,0.4577474188089646,0.6417130203661315,0.2688114518495076
15294R,tpm,1.4-1.6,0.18992818048421714,0.6829010357202697,0.4423102467416083,0.4225304903715882,0.6470824067183691,0.2484500456515462
15294R,mc1,1.4-1.6,0.15631689748377717,0.8499013828513824,0.4862879570469659,0.49945391890396457,0.7725043644771383,0.24250261768922504
15441R,tpm,1.4-1.6,0.18278748191434221,0.704575860143703,0.4537040302114599,0.47783484622091904,0.632912086129908,0.2414373013814365
15441R,mc1,1.4-1.6,0.20825452632268032,0.7480355689041306,0.4910445934343062,0.4898969065316015,0.7078975077206658,0.24392442769172457
15737R,tpm,1.4-1.6,0.1915383681954496,0.871684483884224,0.49450629146192954,0.4095527312565774,0.8329688114806126,0.24014209597338743
15737R,mc1,1.4-1.6,0.2219897516189788,0.9191957995475819,0.5536400533349717,0.48183718658763364,0.8725649119310612,0.2950878711938759
22306R,tpm,1.4-1.6,0.2488452311971513,0.7456494439789191,0.4903432176040157,0.5007494526994125,0.7048037488307008,0.2781627018658583
