subject,bone,iters,A_before,A_after,rmsd_ab,rmsd_ba,rmsd_2way,rmsd,d_mean,d_min,d_max,d_median,d_std,d_95,d_5
14548R,tpm,25,169.6265523870498,168.44900738880375,0.0006872320327094026,0.001027794917779096,0.0008742569015439444,0.0008742569015439444,0.0005770634295357545,1.8737344103888173e-07,0.010443065622917424,0.0003914480238054067,0.0006567518010555064,0.0017055982886039253,3.6347174450014794e-05
14548R,tpm,50,169.6265523870498,167.51974260643652,0.0013131408112400517,0.0018414415747573104,0.0015992569936362424,0.0015992569936362424,0.0010829029443712524,7.266389739511998e-08,0.01770097010378326,0.0007481224132219852,0.0011768364987399498,0.0032170177746199758,7.084497917235537e-05
14548R,tpm,100,169.6265523870498,166.0950212641908,0.002465725333674849,0.003170212235493744,0.002839898505158255,0.002839898505158255,0.0019859253385816384,4.4789970140049894e-07,0.0278709524834436,0.0014324208744205097,0.0020300551887028825,0.0057702283658684446,0.00013631263363200513
14548R,tpm,200,169.6265523870498,164.11064443233778,0.00460615491027549,0.005381936272307803,0.005009086797842368,0.005009086797842369,0.0036226227471368596,1.4680639959700885e-06,0.04162851009620155,0.0026529738853305366,0.003459415410187869,0.010340955029417698,0.00025904128033569016
14548R,tpm,400,169.6265523870498,161.54100260180675,0.008634753363324909,0.009322438492084893,0.008985177379555644,0.008985177379555644,0.006677727418224149,1.5557272172949485e-06,0.06150161809376298,0.005103698398743297,0.0060117692129668335,0.018659813450036453,0.00044156409347921057
14548R,tpm,800,169.6265523870498,158.4164171051604,0.016167061341744327,0.01665285379723559,0.01641175511668127,0.01641175511668127,0.012472781368208456,7.301209559800929e-06,0.09310996959820637,0.009931562673576035,0.01066655665858415,0.03267531213431946,0.0010271941658596402
14548R,tpm,1600,169.6265523870498,154.82218424086375,0.030600900003729312,0.030744348622191758,0.030672708172258808,0.03067270817225881,0.023619267787122908,8.55340602366204e-06,0.14519567501791245,0.018795417725076022,0.019568986070329003,0.059312579836482124,0.0019482765177020074
14685R,tpm,25,207.32419917260432,206.06890995226917,0.0005919334584057356,0.000874956657143483,0.000746972011209213,0.000746972011209213,0.00047781311757775195,5.015169975276668e-08,0.010777910712148345,0.0003213716862028959,0.000574161832761954,0.0014321860233012756,2.845387465920658e-05
14685R,tpm,50,207.32419917260432,205.0701501518143,0.0011240438926535445,0.0015618849263636916,0.0013606908531723595,0.0013606908531723595,0.000895886713467336,2.3463615466372497e-07,0.018303032923605,0.0006238146392383292,0.001024141882035697,0.002655944309381727,5.723704582939918e-05
14685R,tpm,100,207.32419917260432,203.52599173007036,0.0020885579484022417,0.0026682578509676386,0.0023960044097501806,0.0023960044097501806,0.001643235611552085,3.854642265270505e-07,0.028385544691298434,0.0011689696815691836,0.0017437356039461246,0.004832636873918189,0.00011324276860861676
14685R,tpm,200,207.32419917260432,201.35924637990223,0.0038491261799489013,0.004478408049660584,0.0041756383349395056,0.0041756383349395056,0.003011133198153916,1.38673824349055e-07,0.04005977496404247,0.0022344316116255604,0.0028929279920509154,0.008549476793639056,0.00022194356448468848
14685R,tpm,400,207.32419917260432,198.54907570222554,0.007130709385604521,0.007683904692362789,0.007412469482677932,0.007412469482677932,0.005612496372431596,4.731845218727619e-07,0.053019787232701426,0.0044551191417267315,0.004841961204003376,0.014945905964347517,0.0004724380784262549
14685R,tpm,800,207.32419917260432,195.13651497317483,0.01327123462219775,0.013677296386371236,0.013475795057028433,0.013475795057028433,0.010534488397270487,3.856605610314434e-06,0.06891937842210083,0.008766306722292831,0.008403666261031874,0.026886718572128866,0.0009186811150570914
14685R,tpm,1600,207.32419917260432,191.198356173724,0.025140303729761268,0.025380385123397804,0.02526062965007643,0.02526062965007643,0.020015580985297304,6.777239131656641e-06,0.1176426274829304,0.016854650032594096,0.015410253993342405,0.050220098397018034,0.002106735233876681
14726R,tpm,25,326.7680659123482,324.72487873740414,0.0007031316682637248,0.0010064242754512299,0.0008681255569135325,0.0008681255569135324,0.0005483894757721081,1.021571300809088e-08,0.009785495579159179,0.0003461150747268536,0.0006729866012253315,0.0017451502946266087,3.121063998768192e-05
14726R,tpm,50,326.7680659123482,323.086554465056,0.0013295511131614622,0.0018015689636884792,0.0015832493318227651,0.0015832493318227651,0.0010224634185222823,2.2223425238914149e-07,0.01625432156981053,0.0006534314075059169,0.0012088205013569883,0.003224117467567454,6.089027758053571e-05
14726R,tpm,100,326.7680659123482,320.52896879776847,0.0024496768087072882,0.0030894926558994677,0.002787999402616065,0.0027879994026160653,0.0018532206107028546,3.779290574379366e-07,0.025117070997399064,0.0012159452209199542,0.0020829099925473676,0.00581846948227858,0.00011393471406533868
14726R,tpm,200,326.7680659123482,316.88322704641575,0.004459298845615537,0.005201790643802455,0.004844789577291197,0.004844789577291197,0.0033215296638109894,2.4530147458072363e-08,0.03649483990441141,0.002255865884931727,0.003526957150385168,0.010215120722226976,0.00020220376164202845
14726R,tpm,400,326.7680659123482,312.06075178521445,0.008167468074416914,0.00893039311043946,0.008557436995199091,0.008557436995199091,0.00599191882768431,1.002169442107554e-06,0.05797227936391188,0.0041940600930170605,0.0061095529042021,0.017875392069495514,0.0003780167771362044
14726R,tpm,800,326.7680659123482,306.1091819728964,0.015019231030823926,0.015769185763762156,0.01539877463321844,0.015398774633218438,0.010848992338170002,1.3010989545795224e-07,0.09182613666298758,0.007757351990299029,0.010928020198141122,0.032078842204991076,0.0006667516400187305
14726R,tpm,1600,326.7680659123482,299.2303929009514,0.02751471455219194,0.028213846939933295,0.02786647336889426,0.02786647336889426,0.01952270846846342,1.6526090987702715e-06,0.1506993126594264,0.01390774945917591,0.019884772869577357,0.05741319026185577,0.0011337980128827013
14727R,tpm,25,276.8998845607182,274.7271506475188,0.0006929508249759669,0.0010325520636622037,0.000879302169338831,0.000879302169338831,0.0005597986766090844,4.957406492856755e-08,0.01506744011777781,0.0003662911478370123,0.0006780838787869034,0.0017036072004497846,3.4006205148270393e-05
14727R,tpm,50,276.8998845607182,272.99789355629423,0.0013008489629209162,0.0018231032774365466,0.0015836529898516753,0.0015836529898516755,0.0010306423734269177,2.4639516790245856e-08,0.024597826132104626,0.0006830472710986932,0.0012023864147448942,0.0031349454298373503,6.422727573665708e-05
14727R,tpm,100,276.8998845607182,270.3335392202297,0.0023689427313290635,0.0030670365818365026,0.0027403104804602104,0.002740310480460211,0.001830477355879272,4.7509430065245906e-08,0.036465045518522775,0.0012254515377797333,0.0020392778572164458,0.005565778437132568,0.00011418179535891608
14727R,tpm,200,276.8998845607182,266.62957851583286,0.004248268068503965,0.005045234320514095,0.004663805899196692,0.004663805899196692,0.0031921560710855596,3.152331338488472e-07,0.05005642385350684,0.002184137922636201,0.003400180154523209,0.009512543246999171,0.00020019438015693667
14727R,tpm,400,276.8998845607182,261.89554408631176,0.007698577089441442,0.00848141947610917,0.008099461881254722,0.008099461881254722,0.00566917138517048,2.0529794390175582e-07,0.06695630582542422,0.003956271758430494,0.0057846156805325035,0.016371254491014346,0.00036883458096233863
14727R,tpm,800,276.8998845607182,256.2863502997699,0.014169096407243831,0.014854097117876091,0.01451563801878968,0.014515638018789682,0.010363114115932957,1.3456838307325908e-06,0.0914039227091694,0.007385168368516513,0.010164133652834537,0.02878126267681725,0.0007742087190103672
14727R,tpm,1600,276.8998845607182,250.0715261072902,0.026498044550360554,0.02699509611101403,0.02674772494097187,0.02674772494097187,0.019228287576795778,3.562912887990031e-06,0.15483480887891302,0.013872277900411803,0.018593379100688767,0.054923795916361304,0.0017473066164453977
14818R,tpm,25,173.00961664451407,171.6020985984875,0.0005925881228021926,0.000885409816585614,0.000753362869602822,0.000753362869602822,0.0004720658818257352,1.1154673847258674e-07,0.007858998220990286,0.0003119926865882736,0.0005871195930236782,0.0014294647044352463,2.849090447937166e-05
14818R,tpm,50,173.00961664451407,170.46745401518473,0.0011267095402495819,0.0015912752855139205,0.0013787007330049608,0.001378700733004961,0.0008812105732231834,1.4906022661704117e-07,0.013817169058657836,0.0005883783150636556,0.001060322421166357,0.002658782450090187,5.4949051096478555e-05
