subject,bone,bucket,r2_95,r2_50,r2_5,rmse_95,rmse_50,rmse_5,m_95,m_50,m_5
14548R,tpm,0.5,0.9514831625359845,0.9783441916600948,0.9921451286672565,0.037617475008748055,0.025132205300117186,0.015136063354508346,-3.59362875782718,-2.2973028153781727,-1.901269645080259
14548R,tpm,0.6000000000000001,0.9509671520837426,0.9817269317054329,0.992839744304875,0.04428672393223835,0.027035582697302496,0.016923658818499828,-3.916843497133739,-2.410653353350932,-1.9672101633498928
14548R,tpm,0.7000000000000001,0.9501078577898254,0.9839390628661682,0.9939167954161697,0.051179463323037876,0.02903789247735061,0.017870876885343095,-4.222559937796667,-2.508780723209737,-2.0152312296554533
14548R,tpm,0.8,0.9511474622429318,0.9878460365266714,0.9956688434927922,0.05706869413672649,0.028465140638248104,0.01699246206843474,-4.499846896170928,-2.5567116905829885,-2.026407031277876
14548R,tpm,0.9,0.9299440644215095,0.9853727378304566,0.992987293591381,0.07602377710443914,0.034738294848586315,0.02405303055149384,-4.863694953322728,-2.6618070053646705,-2.0958186275563215
14548R,tpm,1.0,0.9286329300454239,0.9865556489633653,0.9923738226040317,0.08447903287477697,0.036666539292160204,0.027615534389123265,-5.173415237680302,-2.7324808010082124,-2.149990664733159
14548R,tpm,1.1,0.9286225806768638,0.9872100033128104,0.9927635246377752,0.0922269436553499,0.039040251944500115,0.029365739345907506,-5.468091857166217,-2.800572491297793,-2.190883219824493
14548R,tpm,1.2000000000000002,0.9238827026423647,0.9865053052462481,0.9904167860157724,0.10322994541347456,0.04346558714115419,0.03662854020831057,-5.779149303924975,-2.877514222098414,-2.2540476356184573
14548R,tpm,1.3,0.9294514396629618,0.9865408373147568,0.9897657421143059,0.10707072921563886,0.04676658995855939,0.0407807173358353,-6.022980559809675,-2.944829965183974,-2.3057464684852276
14548R,tpm,1.4000000000000001,0.9338635305857611,0.9859713999963421,0.9868953272671385,0.11111018985969713,0.051172961617272,0.04945913036842469,-6.255519653392911,-3.0151435438771186,-2.3717960659142165
