sub,bone,run_id,orig_rmsdi,orig_di_mean,orig_di_median,orig_di_std,orig_di_min,orig_di_max,orig_di_99,orig_di_95,orig_rmsdo,orig_do_mean,orig_do_median,orig_do_std,orig_do_min,orig_do_max,orig_do_99,orig_do_95,smooth_rmsdi,smooth_di_mean,smooth_di_median,smooth_di_std,smooth_di_min,smooth_di_max,smooth_di_99,smooth_di_95,smooth_rmsdo,smooth_do_mean,smooth_do_median,smooth_do_std,smooth_do_min,smooth_do_max,smooth_do_99,smooth_do_95,remesh2d_rmsdi,remesh2d_di_mean,remesh2d_di_median,remesh2d_di_std,remesh2d_di_min,remesh2d_di_max,remesh2d_di_99,remesh2d_di_95,remesh2d_rmsdo,remesh2d_do_mean,remesh2d_do_median,remesh2d_do_std,remesh2d_do_min,remesh2d_do_max,remesh2d_do_99,remesh2d_do_95,remesh3d_vol
14548R,tpm,0a,0.02732621602402533,0.021614508092749698,0.018283666817711465,0.016719303876063636,9.83073814419707e-07,0.13227106985945788,0.07213541671878153,0.054534801080304014,0.045649581871370234,0.03445373400745287,0.026420309517830906,0.02994702886722855,1.156419673313045e-07,0.24294931106278567,0.13405994447197792,0.09411539130308418,0.00178598056681386,0.0012372770048501736,0.000834175151704499,0.001287972126369876,1.1015420507028456e-08,0.01216316606226248,0.006130727461743199,0.0037733011110102532,0.019435368168326788,0.013023375192571745,0.007900494270009576,0.01442654617127457,4.3799541465735725e-07,0.12353970531874314,0.06582833691308264,0.04297443614919082,0.0012806500839486678,0.0008262406896641596,0.0004929389239238865,0.000978463571248835,6.021039722139517e-09,0.009764602447995409,0.004666549668593774,0.0027588084687806065,0.017239102091875368,0.011390898975531962,0.006699356969926096,0.01293963142687328,8.806955408120688e-08,0.10370408675321947,0.06038347432284078,0.0382577775431779,1430.2969282691834
14548R,tpm,1a,0.027353242725398956,0.021593995109755373,0.0182570065025422,0.01678985594918706,1.5427953723887828e-06,0.1324305930872404,0.07264875645108167,0.0543830015707952,0.04610911286372189,0.034604199241697185,0.02641362491290353,0.030472933628391728,3.084610521501561e-06,0.25265147795574644,0.13523786431138898,0.09574814573724728,0.001806064409931626,0.0012488902599272652,0.0008380242879874283,0.0013046615543812424,7.900284360931696e-08,0.014179367070460264,0.0061947079671230984,0.0038731606942389585,0.01945476141051292,0.013040442591780249,0.007902849771647284,0.014437264233588936,1.6605435048711096e-08,0.11638539599674204,0.06679544420849062,0.042772765680632346,0.0012819771660498574,0.0008315474771272247,0.0005012361662834311,0.0009757019255677273,6.17497375331016e-09,0.00975638871863363,0.004603449036457165,0.0027835993145476773,0.01712229918089953,0.011336293587065933,0.006721196143744516,0.012832052717631754,2.15493382819781e-08,0.10406487174667167,0.05923995642846624,0.03812493524871004,1430.2969282691834
14548R,tpm,2a,0.027520844642971116,0.02175313321487238,0.01841487325123716,0.016858175618926507,4.1586390706815376e-07,0.1325390721057831,0.07331025844471006,0.054805216623977526,0.04606114669268564,0.03452886976132317,0.026288045506393912,0.030485839133123575,4.25382126372384e-08,0.26273005458323523,0.1351370072349296,0.09496295750661407,0.0017938491440058469,0.0012432921700330987,0.0008474838762490466,0.0012931045322729707,2.1920273043357845e-09,0.014673599880274503,0.0061180333514668315,0.003806990039801399,0.019458127325322934,0.01308865154967611,0.007946278259312163,0.014398122086565327,2.89064359128866e-07,0.12339483015866037,0.06559454818732958,0.043023174940699356,0.0013007428807192746,0.0008356233975433844,0.0004971199849692695,0.000996827758050471,1.7948181482178847e-08,0.010895732190291283,0.0047554973849656505,0.002811242812093654,0.017122829834913613,0.011407022242967486,0.006888710326146836,0.012769931288141401,1.6517351884671948e-07,0.10300732976033251,0.058361903131477044,0.03815978852556414,1430.2969282691834
14548R,tpm,3a,0.027454967987822553,0.021700071188380552,0.01836166188864049,0.016819101570285416,4.4505921227017835e-07,0.13052123957000472,0.07296246348283816,0.054589511951227555,0.04629410807922034,0.03461546187725647,0.02627483729047294,0.03073945741022014,2.2040144486494252e-07,0.3161944533750412,0.13723401278576774,0.09556303648074076,0.0018013359905662855,0.0012390354568785824,0.0008293170054062559,0.001307517681527521,1.5593735100631007e-08,0.015366979204831703,0.006173977183913411,0.003766095677059993,0.019618361484536658,0.01310445331163924,0.007961060276597678,0.01459977433870191,6.384911737498051e-08,0.1600065120710146,0.06619207691158499,0.042892004436632755,0.0012582321219842274,0.0008197763484725048,0.0004957645084736812,0.000954523342447956,8.703711446601487e-09,0.0114538832977732,0.0044771679013739666,0.002695607028583345,0.016977708756209117,0.011195723777392908,0.006693066750068404,0.012763164329858752,1.1463033287769395e-07,0.13756615541156364,0.058818060307017195,0.037127438606329936,1430.1990065194318
14548R,tpm,4a,0.027402671617861078,0.021641471183646604,0.018321517134105354,0.016809316964223227,8.571111253495811e-08,0.1311063993262932,0.07266862617797233,0.0546333498202137,0.045704687006208514,0.03424798783664705,0.026000899225169474,0.030265388539986737,1.5929716839678663e-08,0.2915268181307708,0.13686529237046677,0.09480217051231683,0.0017838037662923512,0.0012365362165732915,0.0008377282002933881,0.0012856648325832777,5.397083008513774e-10,0.015094449282870726,0.006048851273938656,0.0037335676836601486,0.0195440495660974,0.01307251700572159,0.007969753141921125,0.014528564023233395,1.8275207993754095e-07,0.14976339970475133,0.06575655216447811,0.042728328249962866,0.0012781040259295584,0.0008296322210656271,0.0004981157472436076,0.0009722449685480816,6.70059769090573e-09,0.010598579095309512,0.004528817561229134,0.0027575503723083323,0.017324665813202352,0.01133278293224585,0.006664367260218363,0.013103895472329572,5.993234733285324e-08,0.13087952595937563,0.059884414131033056,0.03824110031455235,1430.1990065194318
14548R,tpm,5a,0.027511817656240396,0.021731317160783976,0.018302937330139227,0.016871572695147205,2.4458446012451066e-06,0.1240520385748101,0.07335994609062321,0.05471691657049964,0.0465776693858685,0.034682914488967403,0.026214426088949506,0.031089784945705978,1.298768366022217e-08,0.3454121398435921,0.1377506771464861,0.0969584653171911,0.0017622065097831307,0.001221968643034348,0.0008257639882555637,0.0012697103679827292,3.426314595885962e-09,0.014937238747553394,0.0059405958881808335,0.0037114131356119776,0.019668730017535958,0.013134770185523089,0.00800847950495439,0.014640244283351759,6.164303509292605e-07,0.18077954428480358,0.06689980178478182,0.04288530972653741,0.0012652231031725632,0.0008192932232690026,0.0004910429984942275,0.0009641307562292051,3.356988048594146e-09,0.011645679126577492,0.004534650211902504,0.0027213989024914673,0.017197929801705262,0.011336392655062612,0.006776936577251102,0.012932710119484795,2.3246042529773328e-07,0.12400540880395089,0.05865486635119958,0.03788212889960392,1430.1990065194318
14548R,tpm,6a,0.027420063261702446,0.021646223141007597,0.018275645472230255,0.016831544581691588,2.2370363858813766e-07,0.13282595615996184,0.07364023267283461,0.05405929261268712,0.04510850904922312,0.03402423308713691,0.026015002769210586,0.029616366277381536,1.4824844568996442e-07,0.24129440816030284,0.13202371394680035,0.09338057426986095,0.0017541635690813458,0.0012202263355751313,0.0008299163964012177,0.0012602132823697314,1.3244436987842627e-08,0.014832470516781224,0.0058774648023651324,0.0036646295202878896,0.019037110433132963,0.01260726264260272,0.007681158218404302,0.014264238581281995,1.9408096037691771e-07,0.13702847552732839,0.0664009570349186,0.041683234474618226,0.0012285316995264528,0.0007992777999279287,0.0004788826499383973,0.0009329764923532234,1.9508133459941806e-09,0.010701920005337031,0.004336796509085061,0.0026775774150965834,0.01652133886216602,0.010771555147402913,0.006406004598707684,0.012527100123531181,2.0816575880522198e-07,0.11235598922011175,0.05875888801701784,0.036292165916579536,1430.4539088769825
14548R,tpm,7a,0.027474762913344556,0.02167343054616934,0.01831517842806217,0.016885644953772642,3.919333437351005e-07,0.13489197886331086,0.07320286319495947,0.05483442228899032,0.0453937879868656,0.03424702966772188,0.02629867107836421,0.029794914779785523,7.760880397605591e-08,0.2434417951233682,0.13204794735589886,0.0935963584590485,0.0017565767292864348,0.0012170153367664644,0.0008290641984621645,0.001266663126464901,8.484793398462281e-08,0.015055461394285253,0.005892072626682607,0.003670025892236048,0.01899284065978545,0.012528495881176136,0.00763534900255894,0.014274620390166316,1.238505876157874e-07,0.1358298437562271,0.06568112219139208,0.041634263331716256,0.0012369691248706523,0.0008031268685496421,0.0004767733501778393,0.0009407868243640073,1.4828351560822043e-08,0.010755685998950007,0.004305311713467187,0.002696287463309211,0.01662452415260562,0.01085119401672687,0.006482758232853776,0.012594696967847957,3.389764814037652e-08,0.13198364224608747,0.059405259749916686,0.036545711780653,1430.4539088769825
14548R,tpm,8a,0.02738562448660068,0.021586118888165248,0.01827175641842323,0.016852652606254553,3.0049276268592625e-07,0.13248642116660594,0.07337734770113187,0.054835872972692414,0.04568609816775193,0.03432687266353139,0.02613463229141487,0.030147725933064463,1.8845420662409803e-06,0.2683501797259901,0.13390536381449625,0.09439282992107535,0.0017723174636871634,0.0012284228002169247,0.0008339580524821615,0.0012775314540150113,5.509277811936094e-08,0.014102458679044588,0.005913448476959383,0.003744827550334363,0.019007499046657893,0.012584162759918385,0.007629762622514101,0.01424513487618085,6.186282571655332e-07,0.14403160001157067,0.06558474876778447,0.04196252814883856,0.0012284057710197738,0.0008005956053402862,0.0004838379731803989,0.0009316798886873678,6.781635033806984e-09,0.010629057578406974,0.004365700564417552,0.0027034134015975933,0.01663729271940402,0.010868454454808392,0.006414278416627375,0.012596674433948414,1.330463530045481e-07,0.13375257715968855,0.05876471722851529,0.03636699596268735,1430.4539088769825
14548R,tpm,9a,0.027366770764413424,0.021620116219893435,0.018192429376209428,0.016778281101181194,1.0942715381155109e-06,0.13007331875133757,0.07286203654470341,0.05448030215654734,0.046096738208736325,0.034682778655815184,0.026587678280357647,0.030364685708837866,8.427613178693714e-07,0.25894035564789,0.13525192558879354,0.09486489270492113,0.0017788113775786443,0.0012306187338768637,0.0008284336013011373,0.0012844249486967073,8.096504298388288e-08,0.014122443931297395,0.006071376664267906,0.0037457656391726773,0.019699588473965933,0.01309834306015514,0.007942263661172524,0.01471418346773266,3.0575779270003836e-08,0.2231966325422148,0.06648528879998326,0.04309529493062652,0.0012690100517400047,0.0008234774069635808,0.0004919720666692867,0.0009655420610401737,6.916624388667198e-10,0.009582125973212308,0.00451864467516882,0.002756381766428686,0.01745726252938495,0.01147529669501592,0.006816894228719285,0.013155743262211547,1.7662633467298772e-07,0.1786537912615207,0.05975101292589219,0.03815104346152693,1430.3291328084804
