sub,bone,run_id,orig_rmsdi,orig_di_mean,orig_di_median,orig_di_std,orig_di_min,orig_di_max,orig_di_99,orig_di_95,orig_rmsdo,orig_do_mean,orig_do_median,orig_do_std,orig_do_min,orig_do_max,orig_do_99,orig_do_95,smooth_rmsdi,smooth_di_mean,smooth_di_median,smooth_di_std,smooth_di_min,smooth_di_max,smooth_di_99,smooth_di_95,smooth_rmsdo,smooth_do_mean,smooth_do_median,smooth_do_std,smooth_do_min,smooth_do_max,smooth_do_99,smooth_do_95,remesh2d_rmsdi,remesh2d_di_mean,remesh2d_di_median,remesh2d_di_std,remesh2d_di_min,remesh2d_di_max,remesh2d_di_99,remesh2d_di_95,remesh2d_rmsdo,remesh2d_do_mean,remesh2d_do_median,remesh2d_do_std,remesh2d_do_min,remesh2d_do_max,remesh2d_do_99,remesh2d_do_95,remesh3d_vol
14548R,tpm,0c,0.027340686537897483,0.021590237358532088,0.018307712473999156,0.016774229972365773,1.1934057196334019e-06,0.13699455969639104,0.072606199658324,0.05446119970394446,0.09136930639608534,0.07164662210474072,0.05847128800360285,0.0567019549246955,6.437792248467004e-07,0.43899592442869895,0.23356502034873858,0.18273551741307628,0.0018189084854805294,0.0012553039461628084,0.00084218752418413,0.0013162978695193403,8.605394349649652e-09,0.014110592714093342,0.006196807955511615,0.003859009043051551,0.07965261314748448,0.06047065003359063,0.04892510061148722,0.051844375449394936,2.3576087268779454e-07,0.30225940085812636,0.20107607363331167,0.16216022451214196,0.0012908592237568428,0.0008322673151533226,0.0004961554928582801,0.0009867363638204475,2.2125503299631168e-08,0.011686697226632858,0.00471335034282058,0.002802768149396808,0.07833529917328946,0.059544495244999815,0.04847797028384832,0.05090061082724802,1.0769377970688481e-06,0.2927754940612191,0.19926114678579884,0.1593087125556316,1409.8818748467977
14548R,tpm,1c,0.027384493223695607,0.02161802902453713,0.01833993137398651,0.01680985693612235,9.849186927816383e-07,0.12368247690302803,0.07399002797298644,0.05453068017042151,0.09238388004376481,0.07263115774721617,0.059695268879940595,0.05709199783016643,2.1914081242512153e-06,0.4365048064432639,0.23545303989980843,0.1841051139136747,0.0018132308933023074,0.0012504294694112193,0.0008446966005571706,0.0013131003063185463,7.858691876989877e-08,0.015471844710549684,0.006168569503306147,0.003833178788605765,0.08077716664649684,0.061875332432395,0.05092562829659084,0.051926812802409975,7.016076573667131e-07,0.31478871666653535,0.20107772042208225,0.16140161914106804,0.0012936558513596645,0.0008265052409799225,0.000495191494128037,0.000995205781931465,9.9619361906477e-09,0.011813751765955656,0.004757932598954805,0.002733579031898096,0.078848899479683,0.06034552720285466,0.049528941292669194,0.050750037396702315,5.2923728747497276e-08,0.3027099108009648,0.19656012446269677,0.1592262301841381,1409.6814220184024
14548R,tpm,2c,0.027292501618377648,0.021550758238771076,0.01822037221759823,0.016746506021352248,2.721329653320925e-07,0.13575891119009054,0.07164892001872916,0.054556964774341396,0.09182994883766757,0.07217170485048546,0.05931903680226927,0.05678014197325555,2.164241833636755e-06,0.42766466075359144,0.23326946181642658,0.18301592277724235,0.0018013751009665542,0.0012380513232162738,0.0008266392269725202,0.0013085034105667045,4.542762801099462e-09,0.01444385834839517,0.006224112728939346,0.0038104829726719807,0.0810373844187334,0.06207625941394392,0.050846700936778844,0.05209218454434708,2.6905159827647454e-07,0.3026741499664015,0.20069580173231402,0.1624425552447952,0.001239521942993772,0.0008080612140870759,0.000491716946376438,0.0009399211251223034,6.137209038892845e-09,0.011230284332896134,0.004455022699657053,0.002664729987546975,0.07869892265885925,0.06023041424959629,0.049572811719410935,0.050653900412378286,4.0343866705714755e-08,0.3038622525318692,0.19736122380735013,0.1584309574149639,1409.6783671021533
14548R,tpm,3c,0.027382546111080836,0.021627104224372966,0.018151214088027244,0.016795005042975642,1.430824930161842e-06,0.13495569350873404,0.07213424080258857,0.05483135915345558,0.0888335653704848,0.06896424690164543,0.055590814590152096,0.05599406205769575,2.1041083317416332e-08,0.47677030633613676,0.23005535833866095,0.17965818015663798,0.0017732263086983986,0.0012354129862569782,0.0008450491067362991,0.0012720402097605894,1.194153284687004e-09,0.013473313479589312,0.005991368253197322,0.0037394664135111523,0.07673305230299145,0.05786550889415518,0.04629433170706343,0.05039389046455999,3.6595001679865744e-07,0.2978924025755149,0.19613493195482162,0.15594147290722737,0.001262119371556532,0.000821158522844043,0.000495876279835137,0.0009584591741012469,9.039178611757634e-09,0.011680683221040954,0.004505386613512129,0.002719053027560711,0.07531549139712455,0.056924064410982966,0.04601002570151143,0.049316063664130834,7.732707753741731e-08,0.28474956927172335,0.19265920245254156,0.15336286499627863,1411.4911931996846
14548R,tpm,4c,0.027550586492675146,0.02175525512850871,0.018336565454941625,0.01690395487404855,1.6761949285900717e-06,0.1350861600734467,0.07291074084528176,0.05509588365809902,0.0884182175730702,0.06915251988179257,0.0562709858852095,0.05509727935930288,2.069077120936253e-06,0.494113053950451,0.2277690075228624,0.17635287505491873,0.001782062812522793,0.0012336303875393534,0.000837174560104053,0.001286041964601526,1.0423042399826986e-08,0.015624505237291727,0.0060700695813406804,0.003758752663208263,0.07664420124015174,0.05788718136131621,0.046567362719705206,0.050233532802132906,5.774496607217783e-07,0.29980363052514686,0.19493672167684672,0.15638488323224947,0.001252790884657059,0.000819235515586734,0.0004965637702675344,0.0009478070324075224,1.4600579140487266e-08,0.010695503781530056,0.004455107604159062,0.0027293708692255653,0.07533430374945142,0.05682246669244043,0.04536666845965899,0.04946174886112609,1.8600731406497374e-08,0.3095786648279323,0.19120911500334026,0.15405628507053798,1411.4501840002765
14548R,tpm,5c,0.027462118822439527,0.02166670128711716,0.01834600032274914,0.016873708115071294,1.8553579596654497e-06,0.13091166796681056,0.07330968009612332,0.05463428019219504,0.08865627572886821,0.06920106679782778,0.05616702586054327,0.055417935545775086,1.1040502995722709e-06,0.4718320680133965,0.2290418881080065,0.1774023208000626,0.0017617185670126183,0.00122513302200531,0.0008356075030981738,0.0012659784309968045,3.7984425862579045e-09,0.014247682847049062,0.00597811417139,0.0036820616941314467,0.07690923979440376,0.05803346327007514,0.04648582842435464,0.05046928082144562,1.873813314266493e-08,0.30678412710342323,0.1956291759270845,0.15630905025070244,0.0012386514283405626,0.0008056525893283112,0.0004858277198759568,0.0009408407230975406,3.087217477512227e-09,0.01007074930386478,0.004414941809504926,0.0026809911398524918,0.07503951711133615,0.0567134071551234,0.045512290174994904,0.0491377510388877,1.047681805178558e-07,0.2882934559552386,0.19188384676591175,0.15239951192094978,1411.4471161406118
14548R,tpm,6c,0.027631865682864843,0.021790847585170938,0.01835603573156188,0.016990555100871,2.2593087617961033e-07,0.13163211096239608,0.07355705413416866,0.05511260904089097,0.07882003177354897,0.05944644520297883,0.0446327459625207,0.05175632870975785,3.709877904790406e-06,0.36962770596026373,0.2227735101441909,0.16521533097685734,0.001768613104466347,0.0012284424363474783,0.0008295725239667247,0.0012723684583762528,5.212333504358276e-08,0.014255440962363997,0.0058995959179310685,0.003734837049493,0.06478247630078901,0.045037757215549035,0.03035454949567651,0.04656575630928324,3.248355137952477e-07,0.28649328338363583,0.19077595693350716,0.1432064967531577,0.0012370801413541044,0.0008096754881132423,0.0004899394815274967,0.0009353036298877889,2.7978868751352965e-09,0.009991151210560654,0.004366729603767162,0.0027108764249959318,0.06269502897251218,0.04340890148489571,0.029132867584435423,0.04523642260102762,1.2843656778055332e-08,0.27385488925969764,0.18854898122124236,0.13796300422684607,1415.9058446722152
14548R,tpm,7c,0.027586408338002653,0.021749432101921703,0.018351084898498998,0.016969741548854535,6.287639762620794e-07,0.13701629313221372,0.07337287096375758,0.05479121513051399,0.07833422033089864,0.059030292842598156,0.044295545253937765,0.05149441330636632,3.4846201670533576e-06,0.38635957116853065,0.22105479944692097,0.16617275857684605,0.001774649934670646,0.0012276172339559155,0.0008285457146317845,0.0012815374819024827,2.76768831082779e-08,0.013640843728659834,0.006007996579291714,0.00374728731094225,0.06416817658108291,0.044700976165250504,0.030058481255452685,0.04603669857423252,5.243905705596565e-07,0.289782357877961,0.19133703527472642,0.14107829239788872,0.0012226541515115371,0.0008032777279592143,0.0004846990160973013,0.0009217527141121306,1.1201988233598296e-08,0.010045481504414588,0.004316390038106197,0.0027041534548207713,0.06310067782359254,0.04382461288360098,0.02954378738812923,0.045399326508213066,1.0753456188052499e-07,0.26497350715523843,0.18873647636639623,0.13941171919871986,1415.9044214380272
14548R,tpm,8c,0.027597726670594906,0.02178598980378999,0.018442052396948586,0.016941226804869352,8.575296072152793e-08,0.13330318725908702,0.07379556410086932,0.054761007907944095,0.07861705893818227,0.05920693575798798,0.04453111827326127,0.05172214916492846,1.498660681694192e-07,0.39478161216882784,0.22380207870262805,0.16513272002314286,0.0017653223601384834,0.0012205456905561708,0.0008185761447484067,0.0012753945477653825,5.5206039269256204e-08,0.014354457830918066,0.005958340430640691,0.003761729822582686,0.06477489740014711,0.044994154134026264,0.03025126053859615,0.04659735429145168,7.487638738738758e-07,0.30338007331654904,0.19355800402082574,0.14297342918112058,0.0012286883471737777,0.0008050638407076182,0.0004883183360903966,0.0009281957050459393,3.690855557173695e-09,0.01036607868569848,0.00431327490589506,0.0026817522058412736,0.06284542634765682,0.043568760423153205,0.029008576139094834,0.04529139794716692,1.8618782665014745e-08,0.2673626089652288,0.18840652658737397,0.13818677669913534,1415.9011268563559
14548R,tpm,9c,0.02733650052281842,0.02160911329909337,0.01836287495546695,0.016743072694729536,1.8911074353765324e-07,0.1350965533077442,0.07260366841792956,0.053936069949439044,0.13798680058828727,0.1049486885824992,0.08173116735096353,0.08958867060853931,1.655497903924974e-06,0.5832670027441132,0.3731239941690515,0.2848818907417163,0.0017924111365544592,0.001242043879821243,0.0008369930106643588,0.0012923098247104067,6.815001014478467e-09,0.014496094766865645,0.00604227463877586,0.003805090311084444,0.13015170823661878,0.09587835664953467,0.07434407514932435,0.08801595243530898,1.2708868085266656e-06,0.5181544070741435,0.35353699409305855,0.27230187909544484,0.0012839850482648583,0.0008300686291198612,0.0004959322257435157,0.0009795936275409228,4.817125825811755e-09,0.009915148443645072,0.00469207435519446,0.0027496318056593615,0.1286516627978894,0.09477455729326482,0.07331194260992237,0.08700019327867897,9.819825829283099e-09,0.48683185915185095,0.34926628292541856,0.27025353615810577,1390.0325721309378
